Name,Cpe,Purl,Version,Type,Supplier,license,Description
2490Gcrc.exe,,,,Library,,,
CPP0.EXE,,,,Library,,,
GMAKE.EXE,,,,Library,,,
PERL56.DLL,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL56.DLL,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL56.DLL,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL56.DLL,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL56.DLL,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL56.DLL,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL560.EXE,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL560.EXE,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL560.EXE,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL560.EXE,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL560.EXE,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERL560.EXE,cpe:2.3:a:activestate:activeperl:*:*:*:*:*:*:*:*,,,Library,,,
PERLB.EXE,,,,Library,,,
TISYM.EXE,,,,Library,,,
WinCRC.exe,,,,Library,,,
cygwin1.dll,cpe:2.3:a:redhat:cygwin:1.3.12:*:*:*:*:*:*:*,,,Library,,,
cygwin1.dll,cpe:2.3:a:redhat:cygwin:1.3.12:*:*:*:*:*:*:*,,,Library,,,
gzip.exe,,,,Library,,,
pdd2cspy.exe,,,,Library,,,
pdd2cspy.exe,,,,Library,,,
tisym55.exe,,,,Library,,,
